collected_funds,campaign_quality,goal,images,video,comments_count,updates_count,creators,business_venture,social,pitch_size,filler_words,duration,reach30in2,posemo,negemo,time
510,3,1000,0,1,5,2,1,0,1,263,0,2.63905732961526,FALSE,4.56,0,780
2941,1,2800,1,0,88,6,1,0,1,402,0,3.3322045101752,FALSE,4.48,1,868
3000,6,3000,0,1,17,0,1,1,0,529,0,3.43398720448515,FALSE,4.54,2.08,959
760,9,3000,8,1,8,7,4,1,0,617,0,4.11087386417331,FALSE,4.21,1.3,931
7255,9,5000,5,1,4,1,1,1,0,521,0,4.0943445622221,FALSE,2.88,0.19,1313
7627,6,21364,14,0,78,33,2,0,1,1497,0,2.70805020110221,FALSE,1.07,1.74,1199
2000,9,2500,10,1,4,0,1,1,0,840,0,2.77258872223978,TRUE,2.86,0.24,1353
1802,3,1800,0,0,6,0,1,0,1,183,0,4.78749174278205,FALSE,1.64,0.55,1068
1601,9,1200,5,1,8,2,1,0,1,550,0,3.76120011569356,FALSE,4.36,2,1267
2740,3,2000,0,0,7,0,1,1,0,336,0,3.46573590279973,TRUE,4.46,0.6,681
1410,8,5000,4,1,6,0,2,1,0,380,0,3.68887945411394,FALSE,5.26,0.26,1031
1015,6,1600,0,1,1,1,1,1,0,380,0,3.55534806148941,FALSE,2.63,1.05,1357
4900,3,5000,0,0,30,2,2,1,0,552,0,4.12713438504509,FALSE,1.81,1.63,977
5545,9,5000,7,1,40,18,1,1,0,370,0,4.11087386417331,FALSE,3.24,1.35,705
1390,3,3000,0,0,14,0,1,1,0,401,0,2.77258872223978,FALSE,2.74,0.75,1182
1038,4,2500,1,0,6,0,1,1,0,210,0,3.80666248977032,FALSE,7.62,0.95,1066
10800,6,10000,0,1,15,0,1,0,1,657,0,3.8286413964891,FALSE,3.81,1.22,1367
5001,9,4000,7,1,209,5,1,0,1,710,0,4.78749174278205,FALSE,2.39,2.25,1133
1205,3,2000,0,0,14,0,2,1,0,785,0,3.46573590279973,FALSE,5.35,0.51,643
2775,9,4500,11,1,29,15,7,0,0,1151,0,4.0943445622221,FALSE,5.13,1.04,879
1081,9,2800,17,1,9,0,4,1,0,793,0,4.65396035015752,TRUE,4.29,0.5,1204
870,7,2000,1,1,1,4,2,1,0,1365,0,4.0943445622221,FALSE,3,0,1351
2498,7,2482,1,1,16,1,1,0,1,368,0,3.2188758248682,FALSE,2.45,1.63,1052
680,9,16500,4,1,8,0,1,1,0,780,0,3.40119738166216,FALSE,2.69,1.54,1258
6000,7,6000,1,1,31,1,1,0,1,937,0,4.14313472639153,FALSE,3.42,0.64,697
850,3,2500,0,0,16,4,5,1,0,518,0,4.0943445622221,TRUE,4.63,0.19,902
15170,4,20000,1,0,87,5,1,0,0,648,0,4.24849524204936,FALSE,3.86,0.46,995
3405,7,10000,1,1,21,5,3,1,0,491,0,4.70048036579242,FALSE,3.05,1.43,836
7985,5,7499,2,0,9,6,2,1,0,1480,0,3.61091791264422,FALSE,4.86,0.61,1342
980,3,3000,14,0,6,0,4,0,1,158,0,3.76120011569356,FALSE,3.8,0,1231
807,9,3500,5,1,8,3,7,1,0,127,0,4.78749174278205,FALSE,3.94,0,1198
5425,0,20000,0,0,38,0,1,0,1,201,0,4.0943445622221,FALSE,3.98,1.49,961
1825,9,2500,3,1,6,0,1,1,0,608,0,2.77258872223978,TRUE,3.29,1.64,1210
